1,AGHIA MARINA,,,,i,Metro Station,i,Metro Station,i,Metro Station,i,Metro Station,i,Metro Station
2,AGHIA VARVARA,,,,1,AGHIA MARINA,14,NERATZIOTISSA,27,DIMOTIKO THEATRO,40,IRAKLIO,53,ELEONAS
3,METAXOURGHIO,,,,2,AGHIA VARVARA,15,KIFISSIA,28,FALIRO,41,AGHIOS ANTONIOS,54,MEGARO MOUSSIKIS
4,MONASTIRAKI,,,,3,METAXOURGHIO,16,LARISSA STATION,29,KAT,42,MANIATIKA,55,MOSCHATO
5,THISIO,,,,4,MONASTIRAKI,17,ATTIKI,30,ARGYROUPOLI,43,MAROUSSI,56,PEFKAKIA
6,KATEHAKI,,,,5,THISIO,18,PANORMOU,31,PETRALONA,44,AGHIA PARASKEVI,57,HOLARGOS
7,AMBELOKIPI,,,,6,KATEHAKI,19,PIRAEUS,32,AGHIOS ELEFTHERIOS,45,ANTHOUPOLI,58,EVANGELISMOS
8,OMONIA,,,,7,AMBELOKIPI,20,AGHIOS DIMITRIOS,33,PERISSOS,46,PERISTERI,59,AGHIOS NIKOLAOS
9,PANEPISTIMIO,,,,8,OMONIA,21,DAFNI,34,ANO PATISSIA,47,NEA IONIA,60,KERAMEIKOS
10,KALLITHEA,,,,9,PANEPISTIMIO,22,SYNTAGMA,35,AGHIOS IOANNIS,48,ALIMOS,61,KATO PATISSIA
11,TAVROS,,,,10,KALLITHEA,23,NOMISMATOKOPIO,36,HALANDRI,49,ELLINIKO,62,EGALEO
12,SEPOLIA,,,,11,TAVROS,24,ACROPOLI,37,DOUK PLAKENTIAS,50,ETHNIKI AMYNA,,
13,VIKTORIA,,,,12,SEPOLIA,25,NEOS KOSMOS,38,NIKAIA,51,ILIOUPOLI,,
14,NERATZIOTISSA,,,,13,VIKTORIA,26,SYNGROU-FIX,39,IRINI,52,KORYDALLOS,,
15,KIFISSIA,,,,,,,,,,,,,
16,LARISSA STATION,,,,,,,,,,,,,
17,ATTIKI,,,,,,,,,,,,,
18,PANORMOU,,,,,,,,,,,,,
19,PIRAEUS,,,,,,,,,,,,,
20,AGHIOS DIMITRIOS,,,,,,,,,,,,,
21,DAFNI,,,,,,,,,,,,,
22,SYNTAGMA,,,,,,,,,,,,,
23,NOMISMATOKOPIO,,,,,,,,,,,,,
24,ACROPOLI,,,,,,,,,,,,,
25,NEOS KOSMOS,,,,,,,,,,,,,
26,SYNGROU-FIX,,,,,,,,,,,,,
27,DIMOTIKO THEATRO,,,,,,,,,,,,,
28,FALIRO,,,,,,,,,,,,,
29,KAT,,,,,,,,,,,,,
30,ARGYROUPOLI,,,,,,,,,,,,,
31,PETRALONA,,,,,,,,,,,,,
32,AGHIOS ELEFTHERIOS,,,,,,,,,,,,,
33,PERISSOS,,,,,,,,,,,,,
34,ANO PATISSIA,,,,,,,,,,,,,
35,AGHIOS IOANNIS,,,,,,,,,,,,,
36,HALANDRI,,,,,,,,,,,,,
37,DOUK PLAKENTIAS,,,,,,,,,,,,,
38,NIKAIA,,,,,,,,,,,,,
39,IRINI,,,,,,,,,,,,,
40,IRAKLIO,,,,,,,,,,,,,
41,AGHIOS ANTONIOS,,,,,,,,,,,,,
42,MANIATIKA,,,,,,,,,,,,,
43,MAROUSSI,,,,,,,,,,,,,
44,AGHIA PARASKEVI,,,,,,,,,,,,,
45,ANTHOUPOLI,,,,,,,,,,,,,
46,PERISTERI,,,,,,,,,,,,,
47,NEA IONIA,,,,,,,,,,,,,
48,ALIMOS,,,,,,,,,,,,,
49,ELLINIKO,,,,,,,,,,,,,
50,ETHNIKI AMYNA,,,,,,,,,,,,,
51,ILIOUPOLI,,,,,,,,,,,,,
52,KORYDALLOS,,,,,,,,,,,,,
53,ELEONAS,,,,,,,,,,,,,
54,MEGARO MOUSSIKIS,,,,,,,,,,,,,
55,MOSCHATO,,,,,,,,,,,,,
56,PEFKAKIA,,,,,,,,,,,,,
57,HOLARGOS,,,,,,,,,,,,,
58,EVANGELISMOS,,,,,,,,,,,,,
59,AGHIOS NIKOLAOS,,,,,,,,,,,,,
60,KERAMEIKOS,,,,,,,,,,,,,
61,KATO PATISSIA,,,,,,,,,,,,,
62,EGALEO,,,,,,,,,,,,,
