1,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,830,,,,,,,,2113,,2776,,2825,,3100,,3342,,3768,,5322,,5698,,7489,,9561,10011,10215
3,892,,,,,,[13],11358,12635,13519,14428,14510,14653,14670,,,,,,,,,,,,,,,
4,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,866,,,,,1,2113,185,9,,,,,,,,,,,,,,,,,,,,
7,836,,,,,2,2776,125,12,,,,,,,,,,,,,,,,,,,,
8,803,,,,,3,2825,174,12,,,,,,,,,,,,,,,,,,,,
9,868,,,,,4,3100,208,13,,,,,,,,,,,,,,,,,,,,
10,807,,,,,5,3342,209,14,,,,,,,,,,,,,,,,,,,,
11,831,,,,,6,3768,153,16,,,,,,,,,,,,,,,,,,,,
12,750,,,,,7,5322,20,23,,,,,,,,,,,,,,,,,,,,
13,806,,,,,8,5698,155,24,,,,,,,,,,,,,,,,,,,,
14,856,,,,,9,7489,18,32,,,,,,,,,,,,,,,,,,,,
15,36,,,,,10,9561,162,40,,,,,,,,,,,,,,,,,,,,
16,402,,,,,11,10011,130,42,,,,,,,,,,,,,,,,,,,,
17,813,,,,,12,10215,93,43,,,,,,,,,,,,,,,,,,,,
18,A13,,,,,13,10723,119,45,,,,,,,,,,,,,,,,,,,,
19,21,,,,,14,11358,91,48,,,,,,,,,,,,,,,,,,,,
20,35,,,,,15,12635,103,53,,,,,,,,,,,,,,,,,,,,
21,49,,,,,16,13519,23,57,,,,,,,,,,,,,,,,,,,,
22,57,,,,,17,14428,209,60,,,,,,,,,,,,,,,,,,,,
23,46,,,,,18,14510,50,61,,,,,,,,,,,,,,,,,,,,
24,19,,,,,19,14653,193,61,,,,,,,,,,,,,,,,,,,,
25,18,,,,,20,14670,210,61,,,,,,,,,,,,,,,,,,,,
26,19B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A8,,,,,,,,i,Bus Line,i,Bus Line,i,Bus Line,i,Bus Line,i,Bus Line,i,Bus Line,i,Bus Line,,,,,,,
29,B12,,,,,1,837,,1,837,41,A15,81,535,121,A5,161,890,201,A1,241,541,,,,,,,
30,410,,,,,2,830,,2,830,42,B15,82,509,122,60,162,841,202,16,,,,,,,,,
31,740,,,,,3,892,,3,892,43,A10,83,535A,123,823,163,800,203,859,,,,,,,,,
32,E14,,,,,4,876,,4,876,44,14,84,142,124,822,164,820,204,843,,,,,,,,,
33,560,,,,,5,891,,5,891,45,B9,85,171,125,706,165,809,205,832,,,,,,,,,
34,523,,,,,6,866,,6,866,46,871,86,230,126,653,166,846,206,833,,,,,,,,,
35,522,,,,,7,836,,7,836,47,845,87,227,127,914,167,711,207,826,,,,,,,,,
36,530,,,,,8,803,,8,803,48,500,88,217,128,838,168,842,208,730,,,,,,,,,
37,526,,,,,9,868,,9,868,49,906,89,229,129,915,169,852,209,24,,,,,,,,,
38,524,,,,,10,807,,10,807,50,300,90,703,130,B5,170,810,210,748,,,,,,,,,
39,A11,,,,,11,831,,11,831,51,904,91,6,131,446,171,A2,211,747,,,,,,,,,
40,B11,,,,,12,750,,12,750,52,218,92,3,132,543,172,115,212,701,,,,,,,,,
41,A15,,,,,13,806,,13,806,53,801,93,11,133,543A,173,52,213,705,,,,,,,,,
42,B15,,,,,14,856,,14,856,54,871T,94,40,134,911,174,220,214,821,,,,,,,,,
43,A10,,,,,15,36,,15,36,55,X96,95,12,135,911A,175,205,215,X93,,,,,,,,,
44,14,,,,,16,402,,16,402,56,E90,96,15,136,421,176,112,216,732,,,,,,,,,
45,B9,,,,,17,813,,17,813,57,824,97,1,137,827,177,206,217,811,,,,,,,,,
46,871,,,,,18,A13,,18,A13,58,550,98,4,138,814,178,237,218,865,,,,,,,,,
47,845,,,,,19,21,,19,21,59,A7,99,201,139,527,179,137,219,409,,,,,,,,,
48,500,,,,,20,35,,20,35,60,X14,100,X95,140,25,180,815,220,224,,,,,,,,,
49,906,,,,,21,49,,21,49,61,212,101,307,141,26,181,622,221,203,,,,,,,,,
50,300,,,,,22,57,,22,57,62,141,102,306,142,829,182,235,222,204B,,,,,,,,,
51,904,,,,,23,46,,23,46,63,219,103,302,143,828,183,608,223,211,,,,,,,,,
52,218,,,,,24,19,,24,19,64,816,104,319,144,909,184,32,224,214,,,,,,,,,
53,801,,,,,25,18,,25,18,65,X97,105,411,145,640,185,420,225,209,,,,,,,,,
54,871T,,,,,26,19B,,26,19B,66,131,106,301,146,731,186,860,226,610,,,,,,,,,
55,X96,,,,,27,242,,27,242,67,164,107,301B,147,700,187,250,227,2,,,,,,,,,
56,E90,,,,,28,A8,,28,A8,68,109,108,314,148,25,188,221,228,31,,,,,,,,,
57,824,,,,,29,B12,,29,B12,69,22,109,407,149,605,189,5,229,54,,,,,,,,,
58,550,,,,,30,410,,30,410,70,304,110,405,150,101,190,721,230,Γ12,,,,,,,,,
59,A7,,,,,31,740,,31,740,71,305,111,450,151,790,191,504,231,719,,,,,,,,,
60,X14,,,,,32,E14,,32,E14,72,308,112,451,152,A3,192,501,232,720,,,,,,,,,
61,212,,,,,33,560,,33,560,73,316,113,460,153,B1,193,406,233,51,,,,,,,,,
62,141,,,,,34,523,,34,523,74,910,114,461,154,140,194,724,234,24,,,,,,,,,
63,219,,,,,35,522,,35,522,75,B2,115,21,155,124,195,604,235,651,,,,,,,,,
64,816,,,,,36,530,,36,530,76,17,116,444,156,154,196,619,236,10,,,,,,,,,
65,X97,,,,,37,526,,37,526,77,20,117,602,157,122,197,755,237,106,,,,,,,,,
66,131,,,,,38,524,,38,524,78,503,118,642,158,447,198,755B,238,126,,,,,,,,,
67,164,,,,,39,A11,,39,A11,79,507,119,B10,159,416,199,825,239,136,,,,,,,,,
68,109,,,,,40,B11,,40,B11,80,536,120,728,160,418,200,130,240,735,,,,,,,,,
69,22,,,,,41,A15,,,,,,,,,,,,,,,,,,,,,,
70,304,,,,,42,B15,,,,,,,,,,,,,,,,,,,,,,
71,305,,,,,43,A10,,,,,,,,,,,,,,,,,,,,,,
72,308,,,,,44,14,,,,,,,,,,,,,,,,,,,,,,
73,316,,,,,45,B9,,,,,,,,,,,,,,,,,,,,,,
74,910,,,,,46,871,,,,,,,,,,,,,,,,,,,,,,
75,B2,,,,,47,845,,,,,,,,,,,,,,,,,,,,,,
76,17,,,,,48,500,,,,,,,,,,,,,,,,,,,,,,
77,20,,,,,49,906,,,,,,,,,,,,,,,,,,,,,,
78,503,,,,,50,300,,,,,,,,,,,,,,,,,,,,,,
79,507,,,,,51,904,,,,,,,,,,,,,,,,,,,,,,
80,536,,,,,52,218,,,,,,,,,,,,,,,,,,,,,,
81,535,,,,,53,801,,,,,,,,,,,,,,,,,,,,,,
82,509,,,,,54,871T,,,,,,,,,,,,,,,,,,,,,,
83,535A,,,,,55,X96,,,,,,,,,,,,,,,,,,,,,,
84,142,,,,,56,E90,,,,,,,,,,,,,,,,,,,,,,
85,171,,,,,57,824,,,,,,,,,,,,,,,,,,,,,,
86,230,,,,,58,550,,,,,,,,,,,,,,,,,,,,,,
87,227,,,,,59,A7,,,,,,,,,,,,,,,,,,,,,,
88,217,,,,,60,X14,,,,,,,,,,,,,,,,,,,,,,
89,229,,,,,61,212,,,,,,,,,,,,,,,,,,,,,,
90,703,,,,,62,141,,,,,,,,,,,,,,,,,,,,,,
91,6,,,,,63,219,,,,,,,,,,,,,,,,,,,,,,
92,3,,,,,64,816,,,,,,,,,,,,,,,,,,,,,,
93,11,,,,,65,X97,,,,,,,,,,,,,,,,,,,,,,
94,40,,,,,66,131,,,,,,,,,,,,,,,,,,,,,,
95,12,,,,,67,164,,,,,,,,,,,,,,,,,,,,,,
96,15,,,,,68,109,,,,,,,,,,,,,,,,,,,,,,
97,1,,,,,69,22,,,,,,,,,,,,,,,,,,,,,,
98,4,,,,,70,304,,,,,,,,,,,,,,,,,,,,,,
99,201,,,,,71,305,,,,,,,,,,,,,,,,,,,,,,
100,X95,,,,,72,308,,,,,,,,,,,,,,,,,,,,,,
101,307,,,,,73,316,,,,,,,,,,,,,,,,,,,,,,
102,306,,,,,74,910,,,,,,,,,,,,,,,,,,,,,,
103,302,,,,,75,B2,,,,,,,,,,,,,,,,,,,,,,
104,319,,,,,76,17,,,,,,,,,,,,,,,,,,,,,,
105,411,,,,,77,20,,,,,,,,,,,,,,,,,,,,,,
106,301,,,,,78,503,,,,,,,,,,,,,,,,,,,,,,
107,301B,,,,,79,507,,,,,,,,,,,,,,,,,,,,,,
108,314,,,,,80,536,,,,,,,,,,,,,,,,,,,,,,
109,407,,,,,81,535,,,,,,,,,,,,,,,,,,,,,,
110,405,,,,,82,509,,,,,,,,,,,,,,,,,,,,,,
111,450,,,,,83,535A,,,,,,,,,,,,,,,,,,,,,,
112,451,,,,,84,142,,,,,,,,,,,,,,,,,,,,,,
113,460,,,,,85,171,,,,,,,,,,,,,,,,,,,,,,
114,461,,,,,86,230,,,,,,,,,,,,,,,,,,,,,,
115,21,,,,,87,227,,,,,,,,,,,,,,,,,,,,,,
116,444,,,,,88,217,,,,,,,,,,,,,,,,,,,,,,
117,602,,,,,89,229,,,,,,,,,,,,,,,,,,,,,,
118,642,,,,,90,703,,,,,,,,,,,,,,,,,,,,,,
119,B10,,,,,91,6,,,,,,,,,,,,,,,,,,,,,,
120,728,,,,,92,3,,,,,,,,,,,,,,,,,,,,,,
121,A5,,,,,93,11,,,,,,,,,,,,,,,,,,,,,,
